"","ID","Age","Condition","Tissue","Replicate","Bisulfite","OX","Sample","Year","fname","fpath","Age_w","index"
"1",1,"3 weeks","GF","LI",1,"+","+","S02140",2022,"S02140_S1_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02140_S1_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","LI_GF_3_+_1"
"2",2,"3 weeks","SPF","LI",1,"+","+","S02141",2022,"S02141_S2_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02141_S2_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","LI_SPF_3_+_1"
"3",3,"17 weeks","GF","LI",1,"+","+","S02142",2022,"S02142_S3_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02142_S3_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","LI_GF_17_+_1"
"4",4,"17 weeks","SPF","LI",1,"+","+","S02143",2022,"S02143_S4_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02143_S4_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","LI_SPF_17_+_1"
"5",5,"1.5 year","GF","LI",1,"+","+","S02144",2022,"S02144_S5_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02144_S5_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","LI_GF_78_+_1"
"6",6,"1.5 year","SPF","LI",1,"+","+","S02145",2022,"S02145_S6_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02145_S6_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","LI_SPF_78_+_1"
"7",7,"3 weeks","GF","LI",1,"-","-","S02146",2022,"S02146_S7_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02146_S7_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","LI_GF_3_-_1"
"8",8,"3 weeks","SPF","LI",1,"-","-","S02147",2022,"S02147_S8_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02147_S8_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","LI_SPF_3_-_1"
"9",9,"17 weeks","GF","LI",1,"-","-","S02148",2022,"S02148_S9_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02148_S9_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","LI_GF_17_-_1"
"10",10,"17 weeks","SPF","LI",1,"-","-","S02149",2022,"S02149_S10_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02149_S10_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","LI_SPF_17_-_1"
"11",11,"1.5 year","GF","LI",1,"-","-","S02150",2022,"S02150_S11_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02150_S11_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","LI_GF_78_-_1"
"12",12,"1.5 year","SPF","LI",1,"-","-","S02151",2022,"S02151_S12_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2022/S02151_S12_R1_001_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","LI_SPF_78_-_1"
